,Player,Color,Team,Color,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38,CAP1,CAP2,CAP3,CAP4,CAP5,CAP6,CAP7,CAP8,CAP9,CAP10,CAP11,CAP12,CAP13,CAP14,CAP15,CAP16,CAP17,CAP18,CAP19,CAP20,CAP21,CAP22,CAP23,CAP24,CAP25,CAP26,CAP27,CAP28,CAP29,CAP30,CAP31,CAP32,CAP33,CAP34,CAP35,CAP36,CAP37,CAP38,PLAY1,PLAY2,PLAY3,PLAY4,PLAY5,PLAY6,PLAY7,PLAY8,PLAY9,PLAY10,PLAY11,PLAY12,PLAY13,PLAY14,PLAY15,PLAY16,PLAY17,PLAY18,PLAY19,PLAY20,PLAY21,PLAY22,PLAY23,PLAY24,PLAY25,PLAY26,PLAY27,PLAY28,PLAY29,PLAY30,PLAY31,PLAY32,PLAY33,PLAY34,PLAY35,PLAY36,PLAY37,PLAY38
11,Ibrahimovic,#DA020E,Man Utd,#DA020E,9,13,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,16,7,2,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vice-captain,Vice-captain,Captain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Captain,Captain,Captain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Valdes,#FF0000,Middlesbrough,#FF0000,2,0,0,1,2,2,2,2,10,6,4,2,0,6,2,1,6,3,5,0,10,1,3,3,7,2,2,NA,2,10,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benched,Benched,Benched,Benched,Benched,Benched,Benched,Played,Benched,Played,Benched,Benched,Benched,Played,Played,Benched,Played,Played,Benched,Benched,Played,Benched,Benched,Benched,Benched,Benched,Played,Benched,Played,Played,Played,Played,Benched,NA,NA,NA,NA,NA
13,Capoue,#FBEE23,Watford,#FBEE23,10,9,2,13,10,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benched,Played,Benched,Benched,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Walker,#ffffff,Spurs,#ffffff,6,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benched,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Pieters,#E03A3E,Stoke,#E03A3E,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benched,Benched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Nolito,#5CBFEB,Man City,#5CBFEB,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Amat,#000000,Swansea,#000000,NA,NA,1,0,2,0,1,1,0,0,0,2,0,-1,6,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benched,Benched,Benched,Benched,Benched,Benched,Benched,Benched,Benched,Benched,Played,Benched,Benched,Played,Benched,Benched,Played,Benched,Benched,Benched,Benched,Benched,Benched,Benched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Foster,#091453,West Brom,#091453,NA,NA,NA,3,2,2,2,4,2,1,2,6,3,3,2,3,2,5,2,3,2,7,3,5,1,3,1,1,2,7,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Benched,Played,Benched,Played,Played,Played,Benched,Benched,Played,Benched,Benched,Played,Played,Benched,Played,Played,Played,Played,Played,Benched,Played,Benched,Benched,Benched,Benched,Played,Benched,Benched,NA,NA,NA
19,Robertson,#F5A12D,Hull,#F5A12D,NA,NA,NA,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,10,4,1,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Benched,Benched,Played,Benched,Benched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Benched,Played,Played,Played,NA,NA,NA
20,Allen,#E03A3E,Stoke,#E03A3E,NA,NA,NA,2,2,11,8,16,2,10,1,1,0,1,5,2,7,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Benched,Benched,Benched,Benched,Played,Played,Played,Played,Benched,Played,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Sterling,#5CBFEB,Man City,#5CBFEB,NA,NA,NA,1,13,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vice-captain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Benched,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Ozil,#EF0107,Arsenal,#EF0107,NA,NA,NA,2,2,10,3,10,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Costa,#034694,Chelsea,#034694,NA,NA,NA,12,6,1,12,9,2,7,9,9,5,12,16,2,6,0,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vice-captain,Vice-captain,Vice-captain,Vice-captain,Vice-captain,Vice-captain,Vice-captain,NA,NA,NA,NA,Captain,Vice-captain,Vice-captain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Benched,Played,Played,Benched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Lukaku,#274488,Everton,#274488,NA,NA,NA,17,24,2,8,8,10,24,2,2,1,1,12,2,2,NA,NA,NA,5,2,2,21,2,6,6,12,32,2,2,13,12,4,2,NA,NA,NA,NA,NA,NA,NA,Captain,NA,NA,NA,Captain,Captain,Vice-captain,Vice-captain,Vice-captain,Vice-captain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vice-captain,Captain,NA,NA,NA,Captain,Captain,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA
25,Firmino,#00A398,Liverpool,#00A398,NA,NA,NA,NA,NA,2,12,3,5,6,15,3,3,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Mustafi,#EF0107,Arsenal,#EF0107,NA,NA,NA,NA,NA,NA,NA,1,5,2,2,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Son,#ffffff,Spurs,#ffffff,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Stanislas,#000000,Bournemouth,#000000,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Benched,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Azpilicueta,#034694,Chelsea,#034694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,2,9,8,12,6,1,1,6,7,2,2,2,2,2,NA,2,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Played,Benched,Played,Played,Played,Played,NA,NA,NA,NA,NA,NA
30,Gundogan,#5CBFEB,Man City,#5CBFEB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benched,Benched,Benched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Cedric,#ED1A3B,Southampton,#ED1A3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Benched,Benched,Played,Played,Benched,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Fer,#000000,Swansea,#000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benched,Benched,Benched,Benched,Benched,Played,Benched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Walcott,#EF0107,Arsenal,#EF0107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Benched,Benched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Kane,#ffffff,Spurs,#ffffff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,16,2,NA,10,4,12,2,40,13,NA,NA,NA,NA,NA,NA,4,10,2,31,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vice-captain,Captain,Captain,Vice-captain,Vice-captain,Vice-captain,NA,Captain,Captain,Captain,Captain,Captain,NA,NA,NA,NA,NA,NA,NA,NA,Captain,NA,NA,Captain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played,Played,NA,Played,Played,Played,Played,Played,Played,Played,NA,NA,NA,NA,NA,Played,Played,Played,Played,Played
35,Holebas,#FBEE23,Watford,#FBEE23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Played,Played,Played,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
